
-----------------------------------------------------------------------------------------------------------------
|	x	|	f_szereg(x)	|	f_scisle(x)	|	l_wyr_szer	|	war_stopu	|
-----------------------------------------------------------------------------------------------------------------
|         0.0000|               0.283662|               0.283662|                      2|	epsilon
|         0.1000|               0.377976|               0.377978|                      4|	epsilon
|         0.2000|               0.468495|               0.468517|                      4|	epsilon
|         0.3000|               0.554355|               0.554374|                      5|	epsilon
|         0.4000|               0.634613|               0.634693|                      5|	epsilon
|         0.5000|               0.708677|               0.708670|                      6|	epsilon
|         0.6000|               0.775589|               0.775566|                      6|	epsilon
|         0.7000|               0.834774|               0.834713|                      6|	epsilon
|         0.8000|               0.885558|               0.885520|                      7|	epsilon
|         0.9000|               0.927565|               0.927478|                      7|	epsilon
|         1.0000|               0.960161|               0.960170|                      8|	epsilon
|         1.1000|               0.983247|               0.983268|                      8|	epsilon
|         1.2000|               0.996499|               0.996542|                      8|	epsilon
|         1.3000|               0.999775|               0.999859|                      8|	epsilon
|         1.4000|               0.993134|               0.993185|                      9|	epsilon
|         1.5000|               0.976493|               0.976588|                      9|	epsilon
|         1.6000|               0.950245|               0.950233|                     10|	epsilon
|         1.7000|               0.914407|               0.914383|                     10|	epsilon
|         1.8000|               0.869440|               0.869397|                     10|	epsilon
|         1.9000|               0.815799|               0.815725|                     10|	epsilon
|         2.0000|               0.753948|               0.753902|                     11|	epsilon
|         2.1000|               0.684624|               0.684547|                     11|	epsilon
|         2.2000|               0.608340|               0.608351|                     12|	epsilon
|         2.3000|               0.526057|               0.526078|                     12|	epsilon
|         2.4000|               0.438513|               0.438547|                     12|	epsilon
|         2.5000|               0.346579|               0.346635|                     12|	epsilon
|         2.6000|               0.251168|               0.251260|                     12|	epsilon
|         2.7000|               0.153317|               0.153374|                     13|	epsilon
|         2.8000|               0.053865|               0.053955|                     13|	epsilon
|         2.9000|              -0.045987|              -0.046002|                     14|	epsilon
|         3.0000|              -0.145475|              -0.145500|                     14|	epsilon
|         3.1000|              -0.243504|              -0.243544|                     14|	epsilon
|         3.2000|              -0.339091|              -0.339155|                     14|	epsilon
|         3.3000|              -0.431278|              -0.431377|                     14|	epsilon
|         3.4000|              -0.519227|              -0.519289|                     15|	epsilon
|         3.5000|              -0.601917|              -0.602012|                     15|	epsilon
|         3.6000|              -0.678738|              -0.678720|                     16|	epsilon
|         3.7000|              -0.748674|              -0.748647|                     16|	epsilon
|         3.8000|              -0.811136|              -0.811093|                     16|	epsilon
|         3.9000|              -0.865501|              -0.865435|                     16|	epsilon
|         4.0000|              -0.911230|              -0.911130|                     16|	epsilon
|         4.1000|              -0.947784|              -0.947722|                     17|	epsilon
|         4.2000|              -0.974938|              -0.974844|                     17|	epsilon
|         4.3000|              -0.992206|              -0.992225|                     18|	epsilon
|         4.4000|              -0.999664|              -0.999693|                     18|	epsilon
|         4.5000|              -0.997129|              -0.997172|                     18|	epsilon
|         4.6000|              -0.984623|              -0.984688|                     18|	epsilon
|         4.7000|              -0.962268|              -0.962365|                     18|	epsilon
|         4.8000|              -0.930365|              -0.930426|                     19|	epsilon
|         4.9000|              -0.889101|              -0.889191|                     19|	epsilon
|         5.0000|              -0.839091|              -0.839072|                     20|	epsilon
|         5.1000|              -0.780597|              -0.780568|                     20|	epsilon
|         5.2000|              -0.714308|              -0.714266|                     20|	epsilon
|         5.3000|              -0.640889|              -0.640826|                     20|	epsilon
|         5.4000|              -0.561076|              -0.560984|                     20|	epsilon
|         5.5000|              -0.475595|              -0.475537|                     21|	epsilon
|         5.6000|              -0.385422|              -0.385338|                     21|	epsilon
|         5.7000|              -0.291271|              -0.291289|                     22|	epsilon
|         5.8000|              -0.194302|              -0.194330|                     22|	epsilon
|         5.9000|              -0.095388|              -0.095429|                     22|	epsilon
|         6.0000|               0.004484|               0.004426|                     22|	epsilon
|         6.1000|               0.104321|               0.104236|                     22|	epsilon
|         6.2000|               0.203059|               0.203005|                     23|	epsilon
|         6.3000|               0.299823|               0.299745|                     23|	epsilon
|         6.4000|               0.393473|               0.393491|                     24|	epsilon
|         6.5000|               0.483279|               0.483305|                     24|	epsilon
|         6.6000|               0.568252|               0.568290|                     24|	epsilon
|         6.7000|               0.647542|               0.647596|                     24|	epsilon
|         6.8000|               0.720354|               0.720432|                     24|	epsilon
|         6.9000|               0.786020|               0.786070|                     25|	epsilon
|         7.0000|               0.843783|               0.843854|                     25|	epsilon
|         7.1000|               0.893250|               0.893206|                      7|	epsilon
|         7.2000|               0.933733|               0.933634|                      7|	epsilon
|         7.3000|               0.964722|               0.964733|                      8|	epsilon
|         7.4000|               0.986168|               0.986192|                      8|	epsilon
|         7.5000|               0.997750|               0.997798|                      8|	epsilon
|         7.6000|               0.999341|               0.999435|                      8|	epsilon
|         7.7000|               0.991028|               0.991085|                      9|	epsilon
|         7.8000|               0.972840|               0.972833|                     10|	epsilon
|         7.9000|               0.944874|               0.944860|                     10|	epsilon
|         8.0000|               0.907473|               0.907447|                     10|	epsilon
|         8.1000|               0.861013|               0.860967|                     10|	epsilon
|         8.2000|               0.805965|               0.805884|                     10|	epsilon
|         8.3000|               0.742799|               0.742749|                     11|	epsilon
|         8.4000|               0.672278|               0.672193|                     11|	epsilon
|         8.5000|               0.594908|               0.594921|                     12|	epsilon
|         8.6000|               0.511682|               0.511704|                     12|	epsilon
|         8.7000|               0.423337|               0.423375|                     12|	epsilon
|         8.8000|               0.330754|               0.330815|                     12|	epsilon
|         8.9000|               0.234851|               0.234950|                     12|	epsilon
|         9.0000|               0.136676|               0.136737|                     13|	epsilon
|         9.1000|               0.037060|               0.037158|                     13|	epsilon
|         9.2000|              -0.062775|              -0.062792|                     14|	epsilon
|         9.3000|              -0.162087|              -0.162114|                     14|	epsilon
|         9.4000|              -0.259774|              -0.259817|                     14|	epsilon
|         9.5000|              -0.354856|              -0.354924|                     14|	epsilon
|         9.6000|              -0.446442|              -0.446485|                     15|	epsilon
|         9.7000|              -0.533518|              -0.533584|                     15|	epsilon
|         9.8000|              -0.615365|              -0.615352|                     16|	epsilon
|         9.9000|              -0.690991|              -0.690972|                     16|	epsilon
